order,#,test,bird,block,area,perimeter,height,width,areaMM,perimeterMM,heightMM,widthMM
210,1,Size2,Blue,B3,91044,1586.34732,639,224,653.8638322,134.4362136,54.15254237,18.98305085
211,2,Size2,Blue,B3,207148,2340.763622,70,136,1487.704683,198.3697985,5.93220339,11.52542373
212,3,Size2,Blue,B3,167585.5,2035.584909,795,296,1203.572968,172.5071957,67.37288136,25.08474576
213,4,Size2,Blue,B3,145107,1861.862039,519,404,1042.13588,157.7849185,43.98305085,34.23728814
214,1,Size2,Blue,B4,43296.5,1004.482316,350,199,310.9487216,85.12561996,29.66101695,16.86440678
215,2,Size2,Blue,B4,295737.5,2829.893564,354,1139,2123.940678,239.8214885,30,96.52542373
216,3,Size2,Blue,B4,120640.5,1980.981877,783,246,866.421287,167.8798201,66.3559322,20.84745763
217,4,Size2,Blue,B4,212438.5,3458.971773,621,1234,1525.70023,293.1332011,52.62711864,104.5762712
218,1,Size2,Blue,B5,184410.5,3294.08447,1355,236,1324.407498,279.1597008,114.8305085,20
219,2,Size2,Blue,B5,42413.5,1065.570629,145,447,304.6071531,90.30259566,12.28813559,37.88135593
220,3,Size2,Blue,B5,303590.5,2907.976823,13,7,2180.339701,246.4387138,1.101694915,0.593220339
221,1,Size2,D3R,B1,90102,1576.101714,521,240,647.0985349,133.5679419,44.15254237,20.33898305
222,2,Size2,D3R,B1,45474.5,1178.413336,439,147,326.5907785,99.86553695,37.20338983,12.45762712
223,1,Size2,D3R,B2,69827.5,1320.908722,195,481,501.4902327,111.9414171,16.52542373,40.76271186
224,2,Size2,D3R,B2,283091.5,3174.653012,1290,277,2033.119075,269.0383908,109.3220339,23.47457627
225,1,Size2,D3R,B3,151572,1990.327111,767,277,1088.566504,168.6717891,65,23.47457627
226,2,Size2,D3R,B3,161252,1996.385986,629,406,1158.086757,169.1852531,53.30508475,34.40677966
227,3,Size2,D3R,B3,140491,1975.415423,767,271,1008.984487,167.4080867,65,22.96610169
228,4,Size2,D3R,B3,355543,3528.993191,1450,315,2553.454467,299.0672196,122.8813559,26.69491525
229,1,Size2,D3R,B4,92440.5,1520.790972,565,218,663.8932778,128.8805909,47.88135593,18.47457627
230,2,Size2,D3R,B4,54385.5,1339.182887,586,191,390.588193,113.4900752,49.66101695,16.18644068
231,1,Size2,D3R,B5,241305,2775.533173,899,494,1733.014938,235.2146757,76.18644068,41.86440678
232,2,Size2,D3R,B5,101156.5,1493.192993,283,483,726.4902327,126.5417791,23.98305085,40.93220339
233,1,Size2,D3R,B6,86047,1423.033613,352,425,617.9761563,120.5960689,29.83050847,36.01694915
234,2,Size2,D3R,B6,130323,1989.307778,228,804,935.9594944,168.5854049,19.3220339,68.13559322
235,3,Size2,D3R,B6,421561,4079.326233,286,1921,3027.585464,345.705613,24.23728814,162.7966102
236,4,Size2,D3R,B6,186028,2493.287569,321,921,1336.024131,211.2955567,27.20338983,78.05084746
237,1,Size2,D3R,B7,83644,1670.763621,638,230,600.7181844,141.5901374,54.06779661,19.49152542
238,2,Size2,D3R,B7,110449,2025.543279,191,879,793.2275208,171.6562101,16.18644068,74.49152542
239,3,Size2,D3R,B7,139880,2137.498681,777,230,1004.59638,181.1439561,65.84745763,19.49152542
240,4,Size2,D3R,B7,442940,3782.674432,1742,401,3181.126113,320.5656298,147.6271186,33.98305085
241,1,Size2,D4R,B1,91668,1373.175747,362,366,658.3453031,116.370826,30.6779661,31.01694915
242,2,Size2,D4R,B1,52897,1197.092487,176,449,379.8980178,101.4485159,14.91525424,38.05084746
243,3,Size2,D4R,B1,191101.5,2569.658064,313,956,1372.461218,217.7676326,26.52542373,81.01694915
244,4,Size2,D4R,B1,54278,1475.61226,654,123,389.8161448,125.0518864,55.42372881,10.42372881
245,5,Size2,D4R,B1,330290.5,3246.917071,1369,390,2372.094944,275.1624636,116.0169492,33.05084746
246,1,Size2,D4R,B2,259491.5,2642.795148,1006,377,1863.62755,223.9656905,85.25423729,31.94915254
247,2,Size2,D4R,B2,183429.5,2548.912897,282,1009,1317.362109,216.0095676,23.89830508,85.50847458
248,3,Size2,D4R,B2,303238,3092.223639,1225,387,2177.808101,262.0528508,103.8135593,32.79661017
249,1,Size2,D4R,B3,215428.5,2479.197167,829,377,1547.173944,210.1014548,70.25423729,31.94915254
250,2,Size2,D4R,B3,147196.5,1850.673222,659,279,1057.142344,156.8367137,55.84745763,23.6440678
251,3,Size2,D4R,B3,19170,693.3868638,139,255,137.6759552,58.76159863,11.77966102,21.61016949
252,4,Size2,D4R,B3,55003,1052.121925,115,150,395.0229819,89.16287501,9.745762712,12.71186441
253,5,Size2,D4R,B3,475617.5,4398.671466,461,1797,3415.81083,372.7687683,39.06779661,152.2881356
254,6,Size2,D4R,B3,212012.5,2714.687502,286,1280,1522.640764,230.0582629,24.23728814,108.4745763
255,7,Size2,D4R,B3,548823.5,3709.946508,532,1030,3941.564924,314.4022464,45.08474576,87.28813559
256,8,Size2,D4R,B3,532380,5250.477595,522,1884,3823.470267,444.9557284,44.23728814,159.6610169
257,1,Size2,D4R,B4,24693.5,751.4873685,141,216,177.3448722,63.68537021,11.94915254,18.30508475
258,2,Size2,D4R,B4,39525.5,884.9087209,169,137,283.8659868,74.99226448,14.3220339,11.61016949
259,3,Size2,D4R,B4,100802,1961.165643,881,210,723.9442689,166.2004783,74.66101695,17.79661017
260,4,Size2,D4R,B4,199047,2660.337215,224,1182,1429.524562,225.4523063,18.98305085,100.1694915
